id,code,name,abreviatura
base.ARS,001,ARS A,PESO
base.BOB,004,BOB,BOLIVIANO
base.BRL,005,BRL,CRUZEIRO REAL
base.CAD,006,CAD,DÓLAR CAN
base.USD,013,USD,DÓLAR USA
base.PYG,023,PYG,GUARANI
base.PEN,024,PEN,NUEVO SOL
base.UYU,026,UYU,PESO URUG
base.AUD,036,AUD,DOLAR AUST
base.CNY,048,CNY,RENMINBI
base.JPY,072,JPY,YEN
base.CHF,082,CHF,FRANCO SZ
base.NOK,096,NOK,CORONA NOR
base.NZD,097,NZD,DÓLAR NZ
base.GBR,102,GBR,LIBRA EST
base.SEK,113,SEK,CORONA SC
base.HKD,127,HKD,DÓLAR HK
base.ZAR,128,ZAR,RAND
base.COP,129,COP,PESO COL
base.ECS,130,ECS,SUCRE
base.MXN,132,MXN,PESO MEX
base.VEF,134,VEF,BOLIVAR
base.SGD,136,SGD,DÓLAR SIN
base.INR,137,INR,RUPIA
base.TWD,138,TWD,DÓLAR TAI
base.AED,139,AED,DIRHAM
base.EUR,142,EUR,EURO
base.CLP,200,CLP,PESO CL
OTR,900,OTRAS NO ESPECIFICADAS,Indique abreviatura
